EbN0_dB,BER_sparc,BER_ldpc_soft,BER_amp_soft
4.106023054012099,11.445023148148149,[0.2600463  0.26032552],[0.26528646 0.2652228  0.26524161]
5.098966403013384,2.2625868055555554,[0.23550926 0.23573061],[0.2401765  0.24040075 0.24115162]
6.1521239519073525,0.20515046296296297,[0.18608652 0.17154514],[0.18980035 0.17525174 0.1609809 ]
7.273272895917092,0.038773148148148154,[0.09705006 0.02800492],[0.10273437 0.03028212 0.01592014]
8.471801831014822,0.005208333333333333,[0.00693432 0.00011285],[0.01082465 0.00045862 0.00045862]
9.759189165870872,0.0,[3.32754630e-05 3.76157407e-05],[0.00014034 0.00013889 0.00013889]
11.149673416239347,0.0,[0. 0.],[1.30208333e-05 1.30208333e-05 1.30208333e-05]
12.661215851815342,0.0,[0. 0.],[0. 0. 0.]
14.316923258144342,0.0,[0. 0.],[0. 0. 0.]
16.14722288057135,0.0,[0. 0.],[0. 0. 0.]
EbN0_dB,BER_sparc,BER_ldpc_hard,BER_amp_hard
4.106023054012099,11.445023148148149,0.2620095486111111,[0.26761719 0.28335648]
5.098966403013384,2.2625868055555554,0.22921874999999997,[0.23384983 0.24992766]
6.1521239519073525,0.20515046296296297,0.1880902777777778,[0.19144097 0.20621817]
7.273272895917092,0.038773148148148154,0.09365162037037039,[0.09938947 0.10007378]
8.471801831014822,0.005208333333333333,0.008447627314814816,[0.01231771 0.00775897]
9.759189165870872,0.0,3.472222222222222e-05,[1.47569444e-04 2.45949074e-05]
11.149673416239347,0.0,0.0,[0. 0.]
12.661215851815342,0.0,0.0,[0. 0.]
14.316923258144342,0.0,0.0,[0. 0.]
16.14722288057135,0.0,0.0,[0. 0.]
