EbN0_dB,BER_amp_1,BER_ldpc,BER_amp_2,BER_ldpc_2,BER_plain,EbN0_bpsk_dB,BER_bpsk
3.5218251811136247,0.2899891493055555,0.28202907986111125,0.2899815538194444,0.0,0.06186848958333333,-6.020599913279624,0.15785481770833334
4.282754673650839,0.2710470920138889,0.2635297309027777,0.2710470920138889,0.0,0.012281901041666684,-5.2596704207424105,0.14849066840277778
5.078547822328412,0.25103375581554466,0.24409358750684187,0.25103589388341546,0.0,0.004917556102900931,-4.4638772720648365,0.13795247395833332
5.9125533812532165,0.19839502068557915,0.19211916371158386,0.19741522606382986,0.0,0.0019623596335697404,-3.629871713140032,0.12557725694444444
6.788627039166409,0.06451302083333331,0.05920225694444446,0.06382899305555555,0.0,0.0007890624999999996,-2.7537980552268406,0.11420789930555555
7.711239201914144,0.003131944444444445,0.0014618055555555556,0.002514756944444445,0.0,0.0002699652777777778,-1.8311858924791036,0.10158854166666667
8.68561303629193,0.0006449652777777778,0.0,0.0006449652777777778,0.0,0.00010503472222222222,-0.8568120581013182,0.08747178819444444
9.717903580543352,0.0002265625000000001,0.0,0.0002265625000000001,0.0,2.0833333333333336e-05,0.17547848615010495,0.07493815104166666
10.815433514420935,5.295138888888888e-05,0.0,5.295138888888888e-05,0.0,3.472222222222222e-06,1.2730084200276868,0.06040364583333333
11.987008558500436,3.472222222222222e-06,0.0,3.472222222222222e-06,0.0,0.0,2.444583464107188,0.045856119791666664
13.243347128565402,0.0,0.0,0.0,0.0,0.0,3.700922034172155,0.024737628253253253
14.597677819004097,0.0,0.0,0.0,0.0,0.0,5.055252724610848,8.333333333333333e-05
16.06659009999369,0.0,0.0,0.0,0.0,0.0,6.524165005600442,0.0
17.671279028312988,0.0,0.0,0.0,0.0,0.0,8.128853933919743,0.0
19.439425527995127,0.0,0.0,0.0,0.0,0.0,9.897000433601878,8.680555555555556e-07
