SNR_dB,BER_amp,BER_ldpc,BER_ldpc_amp,BER_sparc
3.5218251811136247,0.2599826388888889,0.2537977430555556,0.2733289930555556,0.1404079861111111
6.32539924441436,0.031575520833333336,0.008138020833333334,0.0037977430555555555,0.013237847222222222
8.44147376777514,0.004557291666666667,0.0006510416666666666,0.0009765625,0.0
10.141689561942114,0.00021701388888888888,0.00021701388888888888,0.00021701388888888888,0.0
11.56295667845102,0.0,0.0,0.0,0.0
12.78403598665058,0.0,0.0,0.0,0.0
13.854421101180346,0.0,0.0,0.0,0.0
14.807253789884879,0.0,0.0,0.0,0.0
SNR_dB,BER_amp,BER_ldpc,BER_ldpc_amp,BER_sparc
3.5218251811136247,0.25186089409722223,0.24686848958333332,0.2629188368055556,0.1615223524305556
6.32539924441436,0.07725477430555555,0.0716720920138889,0.07621310763888889,0.013450520833333333
8.44147376777514,0.005511067708333333,0.0014463975694444448,0.0011328125,0.001850043402777778
10.141689561942114,0.0009950086805555554,0.00025824652777777776,0.00024197048611111112,0.00021701388888888888
11.56295667845102,0.00017144097222222224,4.231770833333333e-05,3.90625e-05,5.750868055555556e-05
12.78403598665058,3.0381944444444444e-05,1.5190972222222222e-05,1.5190972222222222e-05,1.193576388888889e-05
13.854421101180346,5.4253472222222224e-06,0.0,0.0,0.0
14.807253789884879,0.0,0.0,0.0,0.0
SNR_dB,BER_amp,BER_ldpc,BER_ldpc_amp,BER_sparc
3.5218251811136247,0.34577546296296297,0.33984375,0.3550347222222222,0.30092592592592593
6.32539924441436,0.29007523148148145,0.2847222222222222,0.2918113425925926,0.1746238425925926
8.44147376777514,0.2511574074074074,0.24189814814814814,0.2560763888888889,0.013888888888888888
10.141689561942114,0.007523148148148148,0.0008680555555555555,0.0,0.00318287037037037
11.56295667845102,0.0,0.0,0.0,0.0013020833333333333
12.78403598665058,0.0,0.0,0.0,0.0
13.854421101180346,0.0,0.0,0.0,0.0
14.807253789884879,0.0008680555555555555,0.0,0.0,0.0
